Date,Close,High,Low,Open,Volume,Dividends,Stock Splits
2016-01-27,996.0452880859376,1000.424903692556,979.7933594625512,988.4238616979536,1626986,,
2016-01-28,1000.9615478515624,1008.5614838900782,991.0215330231632,994.2203640169053,3106660,,
2016-01-29,1026.767333984375,1030.5028859804193,1002.614922594209,1012.7696278518712,2235744,,
2016-02-01,1031.6622314453125,1036.0633377370727,1012.8985114402244,1026.6815301486183,1495274,,
2016-02-02,1029.6871337890625,1044.6723216254566,1021.7865486077716,1034.3672925588676,1475588,,
2016-02-03,1037.5018310546875,1043.341285029528,1013.4567615827732,1025.1357743606377,1308692,,
2016-02-04,1039.1119384765625,1047.6779730694248,1031.361676767524,1039.906221583827,1250046,,
2016-02-05,1039.927490234375,1047.6562605234396,1033.9806937699605,1033.9806937699605,1402996,,
2016-02-08,1014.5944213867188,1035.676833710716,1007.7458922960584,1030.5028297871922,1063658,,
2016-02-09,979.578857421875,1001.992379763524,968.5010349096864,1001.992379763524,2489610,,
2016-02-10,974.1685180664062,983.22829089273,969.5742147553356,976.830628924659,1890732,,
2016-02-11,943.747314453125,982.8420349751073,932.4547004250868,978.9776495164896,1962408,,
2016-02-12,956.0490112304688,963.2624469422768,929.1700213614812,944.6275633064968,2172568,,
2016-02-15,974.3187255859376,990.506288255674,961.8024543280616,966.0962152848832,2479712,,
2016-02-16,972.7733764648438,979.8365947558826,963.0909211382316,972.9665748101796,1588702,,
2016-02-17,977.0670166015624,978.8273960953372,964.5506376831316,972.5370768013786,1585178,,
2016-02-18,994.3709106445312,996.04543588643,978.1189796095648,981.1246129973026,1529140,,
2016-02-19,996.0026245117188,999.1585820330006,989.9055024327208,990.7213802440584,879012,,
2016-02-22,994.3921508789062,1006.0282860893076,989.7119929303686,996.2599790007322,1324884,,
2016-02-23,972.1075439453124,996.1096273261276,968.9945670488444,991.96618966416,1306852,,
2016-02-24,949.3289794921876,971.4418465961824,945.142562904538,971.4418465961824,1659328,,
2016-02-25,950.1448974609376,956.6499031204676,938.4657842605062,953.1290402415776,1830556,,
2016-02-26,949.1361694335938,969.0591848475904,944.456010393672,957.3801721970344,1537536,,
2016-02-29,934.6663208007812,960.5147522653496,908.1308453469892,960.5147522653496,2191718,,
2016-03-01,977.5393676757812,981.167680739645,928.311424053083,941.6220873951949,1999760,,
2016-03-02,995.6588745117188,1000.4463763988456,968.7798870171224,989.7119732186004,1527486,,
2016-03-03,1018.973876953125,1026.6382824737443,987.9944324433652,1003.0225963440682,2648284,,
2016-03-04,1012.2758178710938,1021.9152919916844,1008.8408084862476,1021.9152919916844,1512966,,
2016-03-08,1010.8806762695312,1016.3337344876652,989.3688810227322,1005.642306208239,1268152,,
2016-03-09,1012.147216796875,1017.3640965684648,985.4829083842808,1005.169852379461,2017784,,
2016-03-10,1008.3042602539062,1013.2635768648098,993.9845205070789,1011.6319261630678,1661666,,
2016-03-11,1015.5821533203124,1026.574227013556,1002.5935220390782,1004.740403242588,1530528,,
2016-03-14,1011.1809692382812,1029.6441461712943,1004.740326122114,1014.1866026924928,1636742,,
2016-03-15,1000.403564453125,1014.8306466756154,996.195761564058,1008.6261815636268,1623356,,
2016-03-16,999.1800537109376,1001.3054452470031,990.5280591151702,994.0060487765062,1918246,,
2016-03-17,1009.9140625,1014.1004794150148,1001.305050852725,1002.1638030404204,2221088,,
2016-03-18,1041.6029052734375,1043.3847756132525,1013.3284240523768,1013.3284240523768,3204070,,
2016-03-21,1050.3616943359375,1054.0972468974217,1039.0905673144482,1041.66682491936,2336982,,
2016-03-22,1061.8902587890625,1066.999793332911,1046.175048875508,1048.5366178345948,1951984,,
2016-03-23,1062.191162109375,1068.245305328601,1055.106452824521,1068.245305328601,2278434,,
2016-03-28,1062.0191650390625,1080.8043758035778,1056.9311194203276,1069.5762289007473,3320882,,
2016-03-29,1060.3016357421875,1067.8372096531425,1054.1186598721738,1063.9943133047848,1838796,,
2016-03-30,1068.9322509765625,1075.5875833284954,1056.2656506938515,1060.9458102229655,2136504,,
2016-03-31,1082.1566162109375,1094.9090655380446,1061.4820939000642,1064.1228198373697,4363964,,
2016-04-01,1053.6466064453125,1082.3934375709389,1045.1450383914,1075.5877803428734,3041400,,
2016-04-04,1061.0958251953125,1068.2878758061456,1050.6834534154495,1054.5478388182853,1752352,,
2016-04-05,1057.4461669921875,1066.956807265317,1048.5581012024709,1060.902666140457,1491794,,
2016-04-06,1065.6688232421875,1068.7174364062782,1055.9864731188095,1060.5592880367649,1763150,,
2016-04-07,1060.9029541015625,1066.8712425776785,1054.9775403573594,1064.8531949882995,2390942,,
2016-04-08,1044.26416015625,1062.1476327075418,1042.095789895617,1058.8414577184142,1399500,,
2016-04-11,1076.2960205078125,1080.7401069791115,1036.0849734368678,1044.6724991180686,2400648,,
2016-04-12,1081.2335205078125,1084.1747890946413,1068.3308509397311,1072.5816329340253,1303628,,
