date_time,tick_num,open,high,low,close,volume,cum_buy_volume,cum_ticks,cum_dollar_value,signed_dollar_imbalance
2020-07-31,1212,429.8551940918,429.8551940918,429.8551940918,429.8551940918,27499638.0,27499638.0,1,11820862229.944239,11820862229.944239
2020-08-03,1213,415.6146850586,415.6146850586,415.6146850586,415.6146850586,23824107.0,0.0,1,9901648727.607388,-9901648727.607388
2020-08-04,1214,427.3655700684,427.3655700684,427.3655700684,427.3655700684,24746211.0,24746211.0,1,10575678571.04791,10575678571.04791
2020-08-05,1215,433.1414794922,433.1414794922,433.1414794922,433.1414794922,36932321.0,36932321.0,1,15996920159.020847,15996920159.020847
2020-08-06,1216,431.1995849609,431.1995849609,431.1995849609,431.1995849609,33465135.0,0.0,1,14430152322.660488,-14430152322.660488
2020-08-11,1219,431.4983215332,446.1372375488,429.3074645996,446.1372375488,60927076.0,46039032.0,3,26703355854.013725,13920259009.03915
2020-08-12,1220,449.2243347168,449.2243347168,449.2243347168,449.2243347168,23184137.0,23184137.0,1,10414878519.808147,10414878519.808147
2020-08-13,1221,446.2368164062,446.2368164062,446.2368164062,446.2368164062,21885850.0,0.0,1,9766272028.343632,-9766272028.343632
2020-08-14,1222,434.0377502441,434.0377502441,434.0377502441,434.0377502441,36725538.0,0.0,1,15940269890.024202,-15940269890.024202
2020-08-17,1223,436.3281860352,436.3281860352,436.3281860352,436.3281860352,30198343.0,30198343.0,1,13176388222.45878,13176388222.45878
2020-08-18,1224,443.9463500977,443.9463500977,443.9463500977,443.9463500977,21768516.0,21768516.0,1,9664053225.243385,9664053225.243385
2020-08-19,1225,442.3530273438,442.3530273438,442.3530273438,442.3530273438,18127671.0,0.0,1,8018830145.542411,-8018830145.542411
2020-08-20,1226,433.1414794922,433.1414794922,433.1414794922,433.1414794922,16688938.0,0.0,1,7228671296.473598,-7228671296.473598
2020-08-21,1227,438.6186218262,438.6186218262,438.6186218262,438.6186218262,25087973.0,25087973.0,1,11004052141.672916,11004052141.672916
2020-08-24,1228,443.9463500977,443.9463500977,443.9463500977,443.9463500977,18196776.0,18196776.0,1,8078392288.745425,8078392288.745425
2020-08-25,1229,449.9213867188,449.9213867188,449.9213867188,449.9213867188,26273592.0,26273592.0,1,11821050946.72397,11821050946.72397
2020-08-26,1230,461.4233703613,461.4233703613,461.4233703613,461.4233703613,25914508.0,25914508.0,1,11957559622.614872,11957559622.614872
2020-08-27,1231,471.0830383301,471.0830383301,471.0830383301,471.0830383301,19544214.0,19544214.0,1,9206947712.893677,9206947712.893677
2020-08-28,1232,507.0827636719,507.0827636719,507.0827636719,507.0827636719,59179945.0,59179945.0,1,30009130064.55104,30009130064.55104
2020-08-31,1233,494.6845092773,494.6845092773,494.6845092773,494.6845092773,55830536.0,0.0,1,27618501303.84863,-27618501303.84863
2020-09-01,1234,483.680480957,483.680480957,483.680480957,483.680480957,33276725.0,0.0,1,16095302352.673826,-16095302352.673826
2020-09-02,1235,482.3858642578,482.3858642578,482.3858642578,482.3858642578,20750575.0,0.0,1,10009784055.221298,-10009784055.221298
2020-09-03,1236,472.9751586914,472.9751586914,472.9751586914,472.9751586914,14045705.0,0.0,1,6643269551.3075905,-6643269551.3075905
2020-09-04,1237,453.3072509766,453.3072509766,453.3072509766,453.3072509766,29405304.0,0.0,1,13329637520.37122,-13329637520.37122
2020-09-07,1238,456.7926940918,456.7926940918,456.7926940918,456.7926940918,25967554.0,25967554.0,1,11861788950.634298,11861788950.634298
2020-09-08,1239,442.5024414062,442.5024414062,442.5024414062,442.5024414062,21052285.0,0.0,1,9315687509.679123,-9315687509.679123
2020-09-09,1240,429.4568481445,429.4568481445,429.4568481445,429.4568481445,31657672.0,0.0,1,13595604036.712389,-13595604036.712389
2020-09-10,1241,444.9920043945,444.9920043945,444.9920043945,444.9920043945,34434841.0,34434841.0,1,15323228917.59591,15323228917.59591
2020-09-11,1242,445.3405761719,445.3405761719,445.3405761719,445.3405761719,18620781.0,18620781.0,1,8292589339.310768,8292589339.310768
2020-09-14,1243,438.718170166,438.718170166,438.718170166,438.718170166,17622727.0,0.0,1,7731410542.774962,-7731410542.774962
2020-09-15,1244,447.6807556152,447.6807556152,447.6807556152,447.6807556152,17328721.0,17328721.0,1,7757734911.124984,7757734911.124984
2020-09-16,1245,444.1455383301,444.1455383301,444.1455383301,444.1455383301,20016188.0,0.0,1,8890100594.576488,-8890100594.576488
2020-09-17,1246,441.0584106445,441.0584106445,441.0584106445,441.0584106445,14306232.0,0.0,1,6309883948.231486,-6309883948.231486
