"Symbol","Volume (Contracts) - Futures","Volume (Contracts) - Options","Volume (Contracts) - Total","Value (₹ Lakhs) - Futures","Value (₹ Lakhs) - Options (Premium)","Value (₹ Lakhs) - Total","Open Interest (Contracts)","Underlying"
"ASIANPAINT",658,3322,3980,4098.28305,182.689325,4280.972375,87919,2488.3
"UNITDSPR",764,2687,3451,3988.6322,197.24392,4185.87612,56484,1302.3
"KALYANKJIL",579,5906,6485,3559.7676625,613.9890825,4173.756745,48435,521.4
"CUMMINSIND",511,2485,2996,3884.43204,272.67546,4157.1075,27685,3800
"PRESTIGE",537,1315,1852,3966.73974,140.074065,4106.813805,18101,1636.1
"PERSISTENT",700,7137,7837,3673.92454,425.89574,4099.82028,51422,5238.5
"SJVN",654,3065,3719,3720.06645,348.346375,4068.412825,6657,95.83
"COALINDIA",730,5507,6237,3770.726175,289.99701,4060.723185,94525,386.8
"MFSL",288,1017,1305,3676.54256,203.57712,3880.11968,9498,1592.7
"PAGEIND",569,3850,4419,3728.4254069999997,138.79046400000001,3867.2158710000003,31173,43850
"JUBLFOOD",427,1432,1859,3411.69675,193.833125,3605.529875,24109,637.4
"SUNPHARMA",589,4573,5162,3359.14915,222.878565,3582.027715,80868,1625
"SUPREMEIND",451,1535,1986,3385.190935,194.478165,3579.6691,10989,4280.1
"BRITANNIA",497,4141,4638,3326.8329375,209.73895,3536.5718875,47110,5322.5
"ULTRACEMCO",529,3980,4509,3304.17648,214.29409,3518.47057,66711,12462
"TATAPOWER",575,3973,4548,3226.15285,259.37716,3485.53001,89530,385.8
"MPHASIS",450,632,1082,3388.4477275,90.9080425,3479.35577,18645,2718.9
"TITAGARH",529,2595,3124,3147.6483275,297.2911075,3444.939435,22353,823
"COLPAL",659,2467,3126,3265.81884,138.81375,3404.63259,38726,2185.4
"MUTHOOTFIN",409,3081,3490,2859.9979375,382.0232075,3242.021145,21774,2529.7
"AMBUJACEM",493,1556,2049,3037.499115,149.450805,3186.94992,42602,582.55
"ABB",459,2683,3142,2928.9774,235.016175,3163.993575,46510,5073.5
"MANAPPURAM",379,1967,2346,2909.9184,236.5281,3146.4465,18766,256.25
"PIDILITIND",384,1056,1440,2967.243025,82.2375,3049.480525,22934,3082.1
"UPL",303,1214,1517,2844.3775180000002,149.231028,2993.6085460000004,38418,691.4
"IGL",498,1112,1610,2855.4218,113.059375,2968.481175,11064,207.27
"BPCL",403,3059,3462,2579.24177,298.12309,2877.36486,30630,324.5
"IRCTC",416,2583,2999,2639.329875,225.4056,2864.735475,30930,724.55
"HAVELLS",375,1106,1481,2758.47565,80.55125,2839.0269,27145,1469.4
"NBCC",396,349,745,2769.4784,48.91835,2818.39675,10567,107.2
"SHREECEM",360,676,1036,2746.760455,49.425,2796.185455,15178,30325
"NESTLEIND",494,1747,2241,2701.55025,83.1329,2784.68315,56525,1093.6
"ASHOKLEY",416,1766,2182,2504.113,174.716,2678.829,27941,120.55
"SBICARD",410,856,1266,2600.76928,71.77896,2672.54824,31487,790.65
"GRANULES",463,2338,2801,2281.6211725,217.25019,2498.8713625,16380,460.75
"360ONE",463,297,760,2392.79595,20.37995,2413.1759,14590,1023.8
"INOXWIND",487,976,1463,2249.2032296,126.27727759999999,2375.4805072,17037,140.02
"OBEROIRLTY",373,1480,1853,2133.87349,142.57607,2276.44956,21810,1632.1
"LTIM",282,1236,1518,2155.674405,115.015905,2270.69031,24793,5089.5
"AUROPHARMA",365,1232,1597,2135.20043,101.72404,2236.92447,47332,1061
