"Symbol","Volume (Contracts) - Futures","Volume (Contracts) - Options","Volume (Contracts) - Total","Value (₹ Lakhs) - Futures","Value (₹ Lakhs) - Options (Premium)","Value (₹ Lakhs) - Total","Open Interest (Contracts)","Underlying"
"GRANULES",2355,5380,7735,12658.76262,793.15565,13451.91827,16761,529.9
"OFSS",2852,9250,12102,12264.245955,1122.284395,13386.53035,19546,8442
"M&MFIN",2393,2663,5056,12952.058400799999,292.0443144,13244.1027152,19420,260.35
"NCC",3027,4011,7038,12676.7623,499.772905,13176.535205,9102,231.19
"ATGL",2277,6053,8330,12102.6298,1027.982785,13130.612585,7781,681.4
"RVNL",2192,2271,4463,12525.225625,402.1474875,12927.3731125,2035,405
"PETRONET",2559,5805,8364,12016.15662,484.068,12500.22462,29796,307.55
"BALKRISIND",1601,3263,4864,11948.29197,467.22018,12415.51215,12757,2470
"PHOENIXLTD",2236,1662,3898,12198.51794,215.411385,12413.929325,8995,1534.3
"SONACOMS",2835,1920,4755,12081.13949,220.8870125,12302.0265025,27043,540.5
"PIIND",2395,6250,8645,11649.74517,580.195175,12229.940345,17209,3830
"CROMPTON",1855,2578,4433,11897.31924,322.30998,12219.62922,22786,352.4
"TATAELXSI",1831,4054,5885,11646.11713,488.44137,12134.5585,20973,6430.5
"JSL",2234,3743,5977,11351.2054525,455.11365,11806.3191025,10127,641.8
"GODREJCP",1807,2778,4585,11220.71175,274.06025,11494.772,18952,1231.2
"AARTIIND",2238,6120,8358,10814.3843,652.523675,11466.907975,19118,468.85
"DMART",1743,6717,8460,10570.35399,595.955775,11166.309765,28534,4007
"POONAWALLA",1807,2173,3980,10622.37653,355.40225,10977.77878,11686,403
"KEI",1872,4598,6470,10175.82728,665.325945,10841.153225,7543,3606
"CESC",2119,3367,5486,10258.2407125,390.9791925,10649.219905,8786,162.94
"HFCL",2664,5608,8272,9888.142905,675.4217,10563.564605,23576,87.49
"MANKIND",1737,3146,4883,9838.415025,498.5377875,10336.9528125,1585,2465.1
"PAGEIND",1398,2724,4122,9786.499137,307.3050975,10093.804234500001,13362,46175
"ABFRL",4014,6438,10452,9063.13564,363.68228,9426.81792,19427,85.85
"TORNTPOWER",1757,2037,3794,9079.1487,255.7150875,9334.8637875,8136,1375
"ICICIGI",1795,4232,6027,8475.492905,356.37675,8831.869655,29046,1872
"DALBHARAT",1490,1830,3320,8359.561425,166.728045,8526.28947,11552,2016.8
"TIINDIA",1656,5999,7655,7722.808455,631.78329,8354.591745,15988,3042
"ICICIPRULI",1581,3940,5521,7914.6129525,359.531175,8274.1441275,23435,661.25
"KALYANKJIL",1744,3565,5309,7772.1692775,434.435225,8206.6045025,19427,560
"KPITTECH",1465,2409,3874,7850.08428,305.8,8155.88428,8877,1334.9
"IRB",1134,1610,2744,5995.755175,244.543915,6240.29909,10691,51.2
"PNBHOUSING",835,1154,1989,5691.141885,152.046245,5843.18813,11879,1045.2
"SYNGENE",703,1740,2443,4574.3352,196.0014,4770.3366,11258,647
"CYIENT",1079,2511,3590,4391.7381325,297.3443,4689.0824325,10843,1342
"UNOMINDA",828,299,1127,4595.40147,40.183055,4635.584525,541,1003.5
"PPLPHARMA",838,1523,2361,4355.1415,156.15375,4511.29525,748,206.3
"NIFTYNXT50",262,76,338,4399.807985,21.136795,4420.94478,745,66761.3
"FORTIS",586,726,1312,3246.76764,92.1097575,3338.8773975,510,709.9
"KAYNES",440,38,478,2627.30048,8.29962,2635.6001,282,5968
"BLUESTARCO",489,281,770,2472.95139,35.703525,2508.654915,409,1527.5
