"Symbol","Volume (Contracts) - Futures","Volume (Contracts) - Options","Volume (Contracts) - Total","Value (₹ Lakhs) - Futures","Value (₹ Lakhs) - Options (Premium)","Value (₹ Lakhs) - Total","Open Interest (Contracts)","Underlying"
"SAIL",18137,14432,32569,107650.41445,1344.75413,108995.16858,55632,126.14
"NMDC",11155,7754,18909,107580.0069,1313.7552,108893.7621,44618,71.82
"BRITANNIA",15386,8497,23883,107530.8730875,383.43705,107914.3101375,44012,5650
"MAXHEALTH",15751,8318,24069,105076.4923425,484.972845,105561.4651875,35410,1271.4
"VOLTAS",20917,13429,34346,104179.365225,640.0971375,104819.4623625,50835,1333.3
"BIOCON",10377,15108,25485,102750.96075,1704.37225,104455.333,32823,397.95
"MOTHERSON",16234,5632,21866,102155.0916,542.920155,102698.011755,43980,102.6
"SONACOMS",20567,6550,27117,100725.34983,521.5287,101246.87853,38934,471
"LTIM",13312,8318,21630,100781.03886,388.72788,101169.76674,29488,5048
"BHARATFORG",16580,10649,27229,99957.9253,959.34185,100917.26715,40129,1219
"AUBANK",13368,12431,25799,98750.799,959.5269,99710.3259,33778,740.25
"ABCAPITAL",12610,8295,20905,98743.70201,936.6619,99680.36391,34175,252.4
"ONGC",17774,23595,41369,96460.743375,1243.089,97703.832375,88260,241.75
"ICICIGI",15206,3935,19141,94720.897895,183.8108675,94904.7087625,33286,1915
"ABB",13342,18567,31909,92660.049475,1339.172975,93999.22245,43830,5590
"BPCL",14174,13277,27451,92668.802385,847.04274,93515.845125,44625,335.05
"LICHSGFIN",15434,15642,31076,91131.79,1141.1417,92272.9317,52333,599
"GLENMARK",11271,16229,27500,90934.0120125,887.0373,91821.0493125,58318,2165.8
"LTF",9742,14742,24484,89220.1815808,1893.7513312,91113.932912,31189,205.9
"TATAELXSI",14996,11783,26779,90421.55132,562.87187,90984.42319,37774,6050
"KALYANKJIL",12586,25551,38137,88984.7287,1925.5936425,90910.3223425,35312,604
"CGPOWER",16115,12820,28935,89953.208995,633.852905,90587.0619,40370,660
"BHEL",14014,19998,34012,87844.62855,2159.019975,90003.648525,43053,241.1
"SBICARD",12943,22496,35439,85564.45056,1454.02704,87018.4776,45514,819.95
"UNIONBANK",14600,9083,23683,85796.43651,897.9710025,86694.4075125,39442,133.04
"AMBUJACEM",13330,9199,22529,85252.99755,705.05715,85958.0547,44287,611.75
"MUTHOOTFIN",11637,17331,28968,83962.35562,1900.4563875,85862.8120075,33555,2618.8
"YESBANK",13869,9358,23227,84007.89846,1174.92068,85182.81914,57996,19.43
"ULTRACEMCO",13762,36293,50055,84156.58004,894.556435,85051.136475,97226,12230
