"Symbol","Volume (Contracts) - Futures","Volume (Contracts) - Options","Volume (Contracts) - Total","Value (₹ Lakhs) - Futures","Value (₹ Lakhs) - Options (Premium)","Value (₹ Lakhs) - Total","Open Interest (Contracts)","Underlying"
"BDL",3812,19729,23541,24211.66956,3113.00717,27324.67673,16207,1943.9
"UPL",2981,8509,11490,25985.794069,1178.9422755,27164.736344499997,36504,638
"APOLLOHOSP",2914,14800,17714,25262.8279625,1474.903575,26737.7315375,42084,6935
"GAIL",5249,18460,23709,24565.00722,1717.68464,26282.69186,62755,193.79
"DRREDDY",2966,16532,19498,24395.7135,1704.99325,26100.70675,35113,1319.5
"IRCTC",3426,21100,24526,23746.5692625,2281.8571125,26028.426375,44360,788.15
"KALYANKJIL",5479,17396,22875,24057.8512225,1764.0641225,25821.915345,27002,551.95
"ASTRAL",4013,21991,26004,22938.241895900002,2833.7820235000004,25772.023919400002,29417,1534
"INDHOTEL",3108,11246,14354,24271.8724,1473.1188,25744.9912,37372,779.45
"NATIONALUM",3378,9103,12481,23959.155375,1488.71475,25447.870125,32158,187.15
"PEL",2665,8362,11027,23695.527975,1495.994925,25191.5229,16080,1188.1
"NBCC",3163,5429,8592,23852.36877,1202.8242,25055.19297,13438,128.55
"HCLTECH",3946,19722,23668,22839.315135,1628.836825,24468.15196,68516,1648.5
"MANAPPURAM",2974,2923,5897,23024.4396,764.2272,23788.6668,28935,265.42
"MAXHEALTH",3478,15409,18887,21754.79082,1855.769265,23610.560085,26753,1192.6
"MFSL",1797,5461,7258,21871.12008,936.82088,22807.94096,12900,1529.4
"DIVISLAB",3166,17859,21025,20986.88745,1740.25137,22727.13882,46349,6640
"EICHERMOT",2254,10183,12437,21359.83339,1352.63772,22712.47111,33236,5385
"CONCOR",2676,7547,10223,21575.0849,1042.0587,22617.1436,25156,800.95
"NHPC",3455,10681,14136,20330.8832,1433.02016,21763.90336,21216,90.77
"ASHOKLEY",3198,13910,17108,19534.93725,1553.26075,21088.198,33774,243
"TECHM",2064,7597,9661,19654.1226,1228.353,20882.4756,35973,1578.1
"ULTRACEMCO",3363,30920,34283,18960.388245,1791.37961,20751.767855,105010,11266
"IGL",3151,13019,16170,18580.617275,2007.57095,20588.188225,14303,214.2
"NESTLEIND",4038,11715,15753,19770.34129,734.49146,20504.83275,66503,2418
"SIEMENS",6709,53527,60236,17567.11584,2886.320455,20453.436295,61170,3384.9
"ICICIGI",3657,20468,24125,18524.4145125,1740.185,20264.5995125,32266,2028.9
"HAVELLS",2476,9260,11736,19092.53275,920.67005,20013.2028,24725,1543
"PRESTIGE",3246,10588,13834,18289.9009575,1435.6798275,19725.580785,21132,1709
"ICICIPRULI",3906,12629,16535,18787.15329,928.7289575,19715.8822475,28277,636.5
"TATAELXSI",2681,16249,18930,17491.64137,1882.26388,19373.90525,23310,6631
"YESBANK",3249,8011,11260,18248.53355,1049.61467,19298.14822,70822,21.03
"LODHA",2638,7664,10302,18026.64846,1258.4862,19285.13466,20044,1512.5
"PHOENIXLTD",3169,10619,13788,17998.128505,1237.438195,19235.5667,13084,1617
"AARTIIND",3417,12949,16366,16856.219025,1720.281355,18576.50038,25027,483
"CGPOWER",3433,8538,11971,17467.686885,948.5595625,18416.2464475,22661,694.95
"BRITANNIA",2853,17569,20422,16318.22179,1261.895735,17580.117525,43317,5700
"IRB",2860,9969,12829,15848.0347725,1343.1495625,17191.184335,14977,53.18
"JSL",2756,12548,15304,15360.45475,1789.3679725,17149.8227225,11797,716
"COLPAL",3723,9639,13362,16150.8645525,565.07148,16715.9360325,35077,2451.4
"HFCL",3760,9913,13673,14981.89746,1257.967235,16239.864695,30203,92.2
