"Symbol","Volume (Contracts) - Futures","Volume (Contracts) - Options","Volume (Contracts) - Total","Value (₹ Lakhs) - Futures","Value (₹ Lakhs) - Options (Premium)","Value (₹ Lakhs) - Total","Open Interest (Contracts)","Underlying"
"ADANIGREEN",2530,12579,15109,15118.36962,1399.20066,16517.57028,43439,988.25
"APLAPOLLO",2637,5394,8031,15800.145025,513.268105,16313.41313,30965,1694.2
"COALINDIA",2662,18005,20667,14274.383355,844.925175,15119.30853,85483,396.25
"SYNGENE",2187,6330,8517,14502.5695,571.1934,15073.7629,14370,657.95
"PHOENIXLTD",2420,12039,14459,13654.8146,1384.559015,15039.373615,19506,1616
"MPHASIS",1742,6647,8389,14164.186025,870.1033,15034.289325,23276,2949.3
"TATATECH",2537,6999,9536,14464.17344,523.30824,14987.48168,24643,711.5
"EXIDEIND",1867,7706,9573,14100.46722,781.76628,14882.2335,31029,418.5
"SAIL",2199,7312,9511,13806.83139,817.6825,14624.51389,41200,132.9
"YESBANK",2127,3896,6023,13921.60711,652.20121,14573.80832,43790,21.03
"PATANJALI",2620,3433,6053,14174.11296,310.65246,14484.76542,41077,599.9
"DALBHARAT",1703,7070,8773,13509.6719875,840.265725,14349.9377125,12983,2431
"BLUESTARCO",2118,9709,11827,13239.7776225,1083.89164,14323.6692625,9939,1924
"UNIONBANK",2239,7194,9433,13338.1204125,796.88763,14135.0080425,29415,134.3
"PNBHOUSING",2495,5805,8300,13557.10486,542.72374,14099.8286,46243,834.4
"HUDCO",2134,6826,8960,13271.984175,795.070245,14067.05442,20462,224.8
"UNOMINDA",1754,10284,12038,12736.28598,1208.728015,13945.013995,11066,1319.6
"SAMMAANCAP",2177,6273,8450,12815.34289,876.64143,13691.98432,29530,136
"CDSL",1687,10617,12304,12446.5348675,1066.4029775,13512.937845,41998,1550
"BPCL",2009,8600,10609,12695.4139575,740.550345,13435.9643025,29096,318.55
"MARICO",1465,5894,7359,12776.51076,519.77784,13296.2886,28690,723
"CROMPTON",2252,4812,7064,12779.56674,427.67658,13207.24332,34816,314.9
"IREDA",2308,9204,11512,12123.178215,878.159205,13001.33742,18223,153
"IOC",1689,10089,11778,11979.913725,971.3754375,12951.2891625,28793,145.01
"OBEROIRLTY",2008,13017,15025,11565.44109,1187.602045,12753.043135,21990,1643.2
"TORNTPOWER",2356,7901,10257,11225.609325,920.2652625,12145.8745875,16488,1262.5
"BIOCON",1278,3966,5244,11558.7855,545.78,12104.5655,25888,360.2
"IEX",1927,13002,14929,10714.9605,1332.893625,12047.854125,22237,147.31
"ADANIENSOL",1927,7820,9747,10940.593995,1037.1426975,11977.7366925,35941,837
"SRF",1938,6452,8390,11437.08712,496.67762,11933.76474,24816,2951.9
