date_time,tick_num,open,high,low,close,volume,cum_buy_volume,cum_ticks,cum_dollar_value
2018-10-31,849,933.5341186523,968.8032836914,909.9263305664,909.9263305664,223930888.0,95770416.0,28,209656586013.98953
2018-11-27,866,910.1405029297,982.3919677734,910.1405029297,982.3919677734,108569686.0,85982340.0,17,102099789765.46007
2019-01-30,911,994.4100341797,1022.444519043,968.4462890625,968.4462890625,225782332.0,95415032.0,45,226341969921.27808
2019-03-19,943,989.9837036133,1079.3699951172,988.8414916992,1079.3699951172,181293532.0,128160282.0,32,185505967127.79742
2019-05-30,989,1094.2437744141,1161.1407470703,1064.9005126953,1161.1407470703,333145686.0,147876284.0,46,365408183247.3859
2019-08-02,1034,1154.3822021484,1194.9139404297,1062.8642578125,1062.8642578125,275128874.0,96690178.0,45,312248969255.27606
2019-11-20,1104,1046.0167236328,1226.7565917969,1038.0728759766,1222.3887939453,546417936.0,313435797.0,70,620117368603.6105
2020-01-16,1144,1231.9885253906,1250.2761230469,1191.2854003906,1236.1164550781,209257417.0,119668653.0,40,255231530405.30164
2020-02-25,1171,1226.9965820312,1226.9965820312,1145.0623779297,1152.2624511719,179506647.0,61772624.0,27,212312782853.6307
2020-03-24,1190,1151.2543945312,1151.4462890625,736.9755859375,736.9755859375,385523900.0,123169953.0,19,365777318952.0622
2020-06-02,1234,822.461730957,961.7064819336,781.2785644531,960.9385375977,938335372.0,587326995.0,44,815511162545.6221
2020-07-09,1261,981.3381347656,1079.9278564453,911.8356323242,1079.9278564453,532315160.0,297859123.0,27,527253163122.9809
2020-10-21,1334,1060.8721923828,1196.8052978516,961.8985595703,1196.8052978516,938009776.0,544458003.0,73,993231369135.4274
2020-11-09,1347,1183.9417724609,1286.8994140625,1136.1826171875,1286.8994140625,144873098.0,98553617.0,13,173629330785.10654
2020-12-24,1379,1337.8741455078,1384.0971679688,1304.4188232422,1341.1860351562,369731576.0,190900502.0,32,495649443179.2325
2020-12-29,1381,1356.3056640625,1370.0815429688,1356.3056640625,1370.0815429688,13097270.0,13097270.0,2,17863744550.35632
2020-12-31,1383,1375.1694335938,1378.8172607422,1375.1694335938,1378.8172607422,19181238.0,19181238.0,2,26417844130.123714
2021-01-01,1384,1368.017578125,1368.017578125,1368.017578125,1368.017578125,4405469.0,0.0,1,6026759031.884766
2021-01-04,1385,1359.3297119141,1359.3297119141,1359.3297119141,1359.3297119141,7870096.0,0.0,1,10698055328.416311
2021-02-05,1408,1369.6014404297,1533.6617431641,1316.5626220703,1533.6617431641,261217891.0,157838823.0,23,369535551245.6375
2021-02-08,1409,1541.0056152344,1541.0056152344,1541.0056152344,1541.0056152344,8723790.0,8723790.0,1,13443409376.125706
2021-02-15,1414,1547.3414306641,1551.9013671875,1509.4223632812,1551.9013671875,36061670.0,19343358.0,5,55136438308.82509
